x-axis,1,2,3
second,Volt,Ampere,Volt
-5.0000E+00,+2.8742E+00,+3.2275E+00,+3.7175E+00
-4.9900E+00,+2.8749E+00,+3.1775E+00,+3.7206E+00
-4.9800E+00,+2.8742E+00,+3.1337E+00,+3.7191E+00
-4.9700E+00,+2.8746E+00,+3.0962E+00,+3.7237E+00
-4.9600E+00,+2.8711E+00,+3.0650E+00,+3.3972E+00
-4.9500E+00,+2.8724E+00,+3.0150E+00,+3.7253E+00
-4.9400E+00,+2.8686E+00,+2.9712E+00,+3.3972E+00
-4.9300E+00,+2.8702E+00,+2.9150E+00,+3.7284E+00
-4.9200E+00,+2.8714E+00,+2.8775E+00,+3.7300E+00
-4.9100E+00,+2.8714E+00,+2.8400E+00,+3.4534E+00
-4.9000E+00,+2.8721E+00,+2.7775E+00,+3.7331E+00
-4.8900E+00,+2.8730E+00,+2.7337E+00,+3.7394E+00
-4.8800E+00,+2.8739E+00,+2.6962E+00,+3.7378E+00
-4.8700E+00,+2.8746E+00,+2.6587E+00,+3.7394E+00
-4.8600E+00,+2.8755E+00,+2.6087E+00,+3.7441E+00
-4.8500E+00,+2.8746E+00,+2.5525E+00,+3.7222E+00
-4.8400E+00,+2.8749E+00,+2.5025E+00,+3.7456E+00
-4.8300E+00,+2.8749E+00,+2.4587E+00,+3.7472E+00
-4.8200E+00,+2.8755E+00,+2.4087E+00,+3.7472E+00
-4.8100E+00,+2.8767E+00,+2.3650E+00,+3.7487E+00
-4.8000E+00,+2.8761E+00,+2.3150E+00,+3.7503E+00
-4.7900E+00,+2.8767E+00,+2.2712E+00,+3.7519E+00
-4.7800E+00,+2.8771E+00,+2.2275E+00,+3.7503E+00
-4.7700E+00,+2.8771E+00,+2.1837E+00,+3.7534E+00
-4.7600E+00,+2.8777E+00,+2.1400E+00,+3.7503E+00
-4.7500E+00,+2.8777E+00,+2.1025E+00,+3.7519E+00
-4.7400E+00,+2.8767E+00,+2.0587E+00,+3.7534E+00
-4.7300E+00,+2.8777E+00,+2.0275E+00,+3.7519E+00
-4.7200E+00,+2.8771E+00,+1.9900E+00,+3.7503E+00
-4.7100E+00,+2.8774E+00,+1.9837E+00,+3.7519E+00
-4.7000E+00,+2.8789E+00,+1.9837E+00,+3.7503E+00
-4.6900E+00,+2.8783E+00,+1.9837E+00,+3.7519E+00
-4.6800E+00,+2.8780E+00,+1.9837E+00,+3.7487E+00
-4.6700E+00,+2.8783E+00,+1.9837E+00,+3.7456E+00
-4.6600E+00,+2.8752E+00,+1.9837E+00,+3.7456E+00
-4.6500E+00,+2.8758E+00,+1.9837E+00,+3.7441E+00
-4.6400E+00,+2.8767E+00,+1.9837E+00,+3.7441E+00
-4.6300E+00,+2.8774E+00,+1.9837E+00,+3.7409E+00
-4.6200E+00,+2.8771E+00,+1.9837E+00,+3.7409E+00
-4.6100E+00,+2.8767E+00,+1.9837E+00,+3.7378E+00
-4.6000E+00,+2.8755E+00,+1.9837E+00,+3.3972E+00
-4.5900E+00,+2.8749E+00,+1.9837E+00,+3.7347E+00
-4.5800E+00,+2.8761E+00,+1.9837E+00,+3.7316E+00
-4.5700E+00,+2.8752E+00,+1.9837E+00,+3.7284E+00
-4.5600E+00,+2.8755E+00,+1.9837E+00,+3.5784E+00
-4.5500E+00,+2.8755E+00,+1.9837E+00,+3.7253E+00
-4.5400E+00,+2.8736E+00,+1.9837E+00,+3.7253E+00
-4.5300E+00,+2.8733E+00,+1.9837E+00,+3.4722E+00
-4.5200E+00,+2.8724E+00,+1.9837E+00,+3.7191E+00
-4.5100E+00,+2.8727E+00,+1.9837E+00,+3.7159E+00
-4.5000E+00,+2.8717E+00,+1.9837E+00,+3.6878E+00
-4.4900E+00,+2.8717E+00,+1.9837E+00,+3.7097E+00
-4.4800E+00,+2.8724E+00,+1.9837E+00,+3.7097E+00
-4.4700E+00,+2.8714E+00,+1.9837E+00,+3.7003E+00
-4.4600E+00,+2.8730E+00,+1.9837E+00,+3.7019E+00
-4.4500E+00,+2.8727E+00,+1.9837E+00,+3.7003E+00
-4.4400E+00,+2.8727E+00,+1.9837E+00,+3.3972E+00
